Player,Class,Season,Position,School,Games,FG,2P,3P,FT,TRB,AST,STL,BLK,PTS,Picked
Colby Pierce\colby-pierce-1,OVC,4,,Austin Peay,29,42,43,31,61,84,148,48,4,152,0
Takayo Siddle\takayo-siddle-1,Total,4,,Gardner-Webb,29,36,39,33,70,40,57,16,1,152,0
Joe Stephens\joe-stephens-1,Total,4,,Total,16,42,44,32,67,92,15,13,5,152,0
Gary Stewart\gary-stewart-2,Southland,4,,Northwestern State,30,41,47,34,72,68,26,13,5,152,0
Kamau Stokes\kamau-stokes-1,Big 12,2,,Kansas State,28,36,36,35,75,74,101,29,0,304,0
Tony Watson\tony-watson-1,MAC,4,,Buffalo,27,41,45,40,84,47,51,11,0,152,0
Jeff Anderson\jeff-anderson-1,Southern,4,,Davidson,28,45,46,25,76,61,34,13,7,152,0
Ryan Bass\ryan-bass-1,Total,5,,Total,20,38,40,32,80,34,38,14,1,121,0
Isaiah Blackmon\isaiah-blackmon-1,NEC,2,,Saint Francis (PA),25,49,50,47,72,100,33,25,4,304,0
Craig Bowman\craig-bowman-1,MEAC,3,,Florida A&M,25,34,37,27,67,61,43,28,1,202,0
Chris Braun\chris-braun-1,CUSA,4,,Saint Louis,30,44,45,38,71,96,7,12,16,152,0
Danny Brown\danny-brown-2,Total,4,,Saint Louis,29,39,40,36,71,67,40,12,7,152,0
Dion Glover\dion-glover-1,ACC,1,,Georgia Tech,33,44,53,27,64,166,86,70,8,608,1
Jordan Glynn\jordan-glynn-1,Southland,2,,Stephen F. Austin,30,54,54,0,80,250,34,31,4,304,0
Scott Harmatuk\scott-harmatuk-1,A-10,4,,Fordham,25,35,33,36,82,39,42,16,2,152,0
Tyler Honeycutt\tyler-honeycutt-1,Pac-10,2,,UCLA,29,43,47,36,68,203,81,34,49,304,1
Eddie Miller\eddie-miller-3,Pac-10,3,,Washington State,20,44,46,25,74,110,15,21,8,202,0
Pat Mitchell\pat-mitchell-1,CAA,4,,James Madison,24,50,50,NaN,60,130,18,20,8,152,0
Christian Moon\christian-moon-1,Big Sky,2,,Montana State,25,46,55,39,78,64,34,30,3,304,0
Quenton Pryor\quenton-pryor-1,OVC,2,,Morehead State,27,46,53,38,70,115,65,35,14,304,0
Tyler Quinney\tyler-quinney-1,Summit,2,,Southern Utah,30,49,49,0,81,126,35,19,2,304,0
Mike Robinson\mike-robinson-1,OVC,3,,Eastern Illinois,22,34,38,28,77,74,87,43,1,202,0
Jason Sedlock\jason-sedlock-1,WCC,5,,Santa Clara,24,38,42,23,74,78,23,12,2,121,0
Duval Simmonds\duval-simmonds-1,A-10,4,,Saint Joseph's,27,40,45,34,68,91,36,15,18,152,0
Marko Spica\marko-spica-1,MAC,4,,Central Michigan,21,48,48,NaN,70,69,9,8,6,152,0
Bobby Traylor\bobby-taylor-1,WAC,3,,Wyoming,25,40,45,30,70,100,24,19,3,202,0
Justin Treadwell\dustin-treadwell-1,Ivy,2,,Cornell,24,47,50,33,84,182,20,16,17,304,0
Kavon Waller\kavon-waller-1,MEAC,3,,Delaware State,32,45,49,41,64,88,28,6,9,202,0
Lazare Adingono\lazare-adingono-1,A-10,3,,Rhode Island,23,38,40,35,66,83,19,15,3,202,0
Carl Baptiste\carl-baptiste-1,Total,5,,Total,23,56,56,0,68,97,6,6,16,121,0
Shakir Brown\shakir-brown-1,CAA,2,,James Madison,30,38,43,33,78,143,36,27,6,303,0
Phil Chenier\phil-chenier-2,MEAC,4,,Howard,24,35,36,14,72,74,23,20,9,151,0
Kenny Cooper\kenny-cooper-1,Total,5,,Total,23,44,45,0,59,81,10,6,7,121,0
Will Flemons\will-flemons-1,SWC,1,,Texas Tech,30,62,63,50,74,324,50,37,30,607,0
Akeem Gooding\akeem-gooding-1,MAAC,3,,Saint Peter's,26,42,44,0,57,130,37,30,6,202,0
Sanjay Lumpkin\sanjay-lumpkin-1,Big Ten,5,,Northwestern,27,48,57,29,66,127,31,19,9,121,0
Kris Martin\kris-martin-1,Summit,2,,Oral Roberts,29,40,44,38,72,90,48,26,13,303,0
Natter Miller\natter-miller-1,Total,3,,Wofford,25,34,37,33,77,39,22,6,1,202,0
Jon Mills\jon-mills-1,Total,5,,Samford,19,47,60,38,77,53,25,12,2,121,0
Eric Osmundson\eric-osmundson-1,Total,5,,Total,22,36,40,34,62,35,31,9,0,121,0
Darren Payen\darren-payen-1,Total,5,,Total,24,57,59,0,64,68,4,5,16,121,0
Jeffrey Simmons\jeffrey-simmons-1,SWAC,2,,Mississippi Valley State,27,46,49,22,62,72,55,28,1,303,0
Hiram Thompson\hiram-thompson-1,WAC,6,,Hawaii,15,41,43,37,73,33,42,15,1,101,0
Brock Zylstra\brock-zylstra-1,Total,4,,Brigham Young,29,43,53,35,66,83,36,20,3,151,0
Ross Alacqua\ross-alacqua-1,A-Sun,5,,Mercer,18,36,38,36,91,19,23,12,0,121,0
Kauri Black\kauri-black-1,Total,4,,Total,28,53,53,NaN,56,102,29,25,14,151,0
Nick Coln\nick-coln-1,Southland,2,,Louisiana-Monroe,30,37,39,36,75,64,85,26,4,303,0
Kelsey Crooks\kelsey-crooks-1,Sun Belt,4,,New Mexico State,27,42,43,40,66,109,36,16,6,151,0
Brady Dawkins\brady-dawkins-1,Southland,4,,Texas-Arlington,28,36,33,37,79,37,76,14,0,151,0
Jacob Enevold\jacob-jensen-1,MVC,4,,Drake,29,56,56,NaN,71,132,10,5,18,151,0
Steve Harley\steve-harley-1,Big 12,2,,Nebraska,31,42,43,38,66,88,54,39,2,303,0
Darrell Johns\darrell-johns-1,Mid-Cont,2,,Chicago State,24,51,51,NaN,59,160,23,12,37,303,0
Michael Johnson\michael-johnson-2,Big 12,2,,Oklahoma,32,37,37,36,78,104,133,59,4,303,0
Leon Jones\leon-jones-1,Big Ten,4,,Michigan,28,35,39,29,64,58,36,15,3,151,0
Schin Kerr\schin-kerr-1,MW Coll,2,,Loyola (IL),28,46,50,34,70,157,45,22,15,303,0
Ted Kritza\ted-kritza-1,Total,5,,Total,19,47,48,0,59,69,16,13,10,121,0
Corey Lewis\corey-lewis-1,MWC,2,,Colorado State,30,44,47,37,76,117,135,54,4,303,0
Andre Malone\andre-malone-1,Total,4,,Total,20,39,45,32,72,60,13,15,2,151,0
Darnell Mee\darnell-mee-1,Sun Belt,1,,Western Kentucky,32,43,49,36,71,191,106,100,34,606,1
Lamarr Parker\lamarr-parker-1,Big West,3,,UC-Irvine,25,41,47,27,67,43,52,29,0,202,0
Bevan Thomas\bevan-thomas-1,Total,5,,Total,16,48,54,32,68,63,13,5,1,121,0
Eddie Washington\eddie-washington-1,Sun Belt,2,,New Orleans,28,48,48,36,68,222,38,30,31,303,0
Shawn Williams\shawn-williams-2,Total,5,,Total,20,44,52,31,57,78,22,13,8,121,0
Lawrence Wright\lawrence-wright-1,MVC,2,,Bradley,30,44,46,25,70,161,26,24,20,303,0
Jaime Anderson\jaime-anderson-1,Mid-Cont,2,,Buffalo,27,38,43,34,71,104,38,22,3,302,0
Rakiya Battle\rakiya-battle-1,SWAC,4,,Alabama A&M,26,32,36,26,72,63,118,24,2,151,0
Julian Boatner\julian-boatner-1,CAA,4,,William & Mary,31,40,42,38,81,38,33,12,0,151,0
Mikal Bridges\mikal-bridges-1,Big East,2,,Villanova,38,54,70,35,85,146,53,51,29,302,0
Terrance Chapman\terrance-chapman-1,MAC,2,,Ball State,28,43,47,21,61,196,30,15,10,302,0
Chris Cooks\chris-cooks-1,MVC,2,,Missouri State,29,40,42,35,68,156,66,27,6,302,0
Luke Devlin\luke-devlin-1,AEC,4,,Albany (NY),32,43,51,29,68,126,21,14,6,151,0
Jarrid Famous\jarrid-famous-1,Big East,2,,South Florida,31,52,52,0,68,204,14,12,19,302,0
Xavier Gibson\xavier-gibson-1,ACC,4,,Florida State,31,49,51,25,62,94,10,9,25,151,0
Devonte Hampton\devonte-hampton-1,SWAC,4,,Alcorn State,25,37,41,31,62,76,39,22,5,151,0
David Haywood\david-haywood-1,CUSA,4,,Southern Mississippi,27,37,31,40,67,65,29,13,2,151,0
Daymond Jackson\daymond-jackson-1,Big East,4,,Georgetown,30,46,46,0,54,89,21,34,2,151,0
Damian Johnson\damian-johnson-2,Ind,1,,Central Connecticut State,26,47,48,0,72,101,44,71,2,605,0
Mike Kelley\mike-kelley-1,Big Ten,4,,Wisconsin,32,47,55,26,75,74,86,68,6,151,0
Kenny Macfarland\kenny-macfarland-1,A-10,3,,St. Bonaventure,26,36,47,28,59,88,11,17,17,201,0
Mark Mosley\mark-mosley-1,SWAC,2,,Alcorn State,23,44,47,38,72,81,66,46,1,302,0
David Newman\david-newman-1,Total,5,,Total,23,32,28,35,83,35,52,9,0,121,0
Patrick O'Bryant\patrick-obryant-1,MVC,2,,Bradley,26,55,55,NaN,69,204,19,23,73,302,1
Eric Petty\eric-petty-1,SWAC,2,,Mississippi Valley State,32,43,45,25,63,205,27,24,17,302,0
Travis Salmon\travis-salmon-1,Total,4,,Missouri-Kansas City,20,45,54,28,67,77,35,18,2,151,0
Rob Sanders\rob-sanders-1,Big East,3,,Providence,26,50,54,30,60,106,37,33,9,201,0
Anthony Slack\anthony-slack-1,MVC,2,,Illinois State,32,62,63,25,56,205,26,37,39,302,0
Donte Thomas\donte-thomas-1,MVC,3,,Bradley,31,45,50,23,67,159,23,17,13,201,0
Derrick Tilmon\derrick-tilmon-1,MVC,3,,Southern Illinois,27,51,52,NaN,57,128,31,19,19,201,0
Travis Walton\travis-walton-1,Big Ten,4,,Michigan State,35,41,42,31,71,77,138,41,1,151,0
Anthony Winbush\anthony-winbush-1,MAAC,5,,Loyola (MD),24,42,44,30,68,104,36,27,8,121,0
Patrik Auda\patrik-auda-1,Big East,4,,Seton Hall,22,51,57,33,70,83,24,13,8,151,0
Ken Barnes\ken-barnes-1,NAC,2,,Maine,28,45,46,25,64,157,19,18,15,302,0
Tyrell Biggs\tyrell-biggs-1,Big East,4,,Pittsburgh,35,47,50,33,64,102,17,8,11,151,0
Emerson Brown\emerson-brown-1,Total,4,,Jacksonville State,28,40,47,29,62,89,37,17,2,151,0
Chris Burke\chris-burke-1,MAAC,4,,Saint Peter's,29,41,48,31,70,98,31,23,21,151,0
Damon Cason\damon-cason-1,Total,5,,Towson,22,38,42,34,86,51,64,25,1,120,0
Louis Darby\louis-darby-1,Big West,4,,Long Beach State,24,44,49,20,77,53,17,13,2,151,0
Travis Grant\travis-grant-1,MEAC,4,,Florida A&M,27,37,40,35,69,49,22,12,0,151,0
Jason Holwerda\jason-holwerda-1,SEC,4,,Vanderbilt,32,58,69,24,47,76,78,34,6,151,0
Aaron Jack\aaron-jack-1,Total,6,,Total,15,55,54,0,63,80,12,8,3,100,0
Mark Lohuis\mark-lohuis-1,A-Sun,4,,Stetson,30,34,33,33,80,85,26,19,4,151,0
Michael Poster\michael-poster-1,MEAC,3,,Coppin State,29,35,42,26,62,110,36,31,12,201,0
Artha Reeves\artha-reeves-1,CUSA,4,,South Florida,28,47,47,NaN,63,112,18,16,19,151,0
Ryan Richardson\ryan-richardson-1,Big Sky,3,,Weber State,28,40,45,38,78,49,39,18,5,201,0
Steve Santa Ana\steve-santaana-1,CAA,2,,Elon,29,39,48,34,71,107,54,21,4,302,0
Denzell Watts\denzell-watts-1,CUSA,4,,Alabama-Birmingham,32,40,43,38,72,56,55,19,1,151,0
Chad Wiswall\chad-wiswall-1,Patriot,4,,Colgate,20,39,43,29,67,60,23,22,9,151,0
Antoine Allen\antoine-allen-2,Sun Belt,2,,South Alabama,30,33,34,31,73,93,41,31,5,301,0
Clayton Burch\clayton-burch-1,MAC,3,,Toledo,23,39,40,39,80,43,67,15,1,201,0
David Crouse\david-crouse-1,Pac-10,5,,Southern California,21,51,51,NaN,69,78,10,9,14,120,0
James Douglas\james-douglas-4,Sun Belt,2,,New Orleans,30,50,51,0,58,200,12,17,7,301,0
Darius Eason\darius-eason-1,Sun Belt,5,,Arkansas-Little Rock,22,49,49,NaN,58,78,10,5,20,120,0
Tim Gainey\tim-gainey-1,Mid-Cont,2,,Southern Utah,27,43,48,36,66,118,40,23,11,301,0
Davin Granberry\davin-granberry-1,A-Sun,4,,Central Florida,26,54,54,NaN,51,104,12,14,13,150,0
Derail Green\derail-green-1,Total,4,,Total,21,42,46,38,81,56,23,8,4,150,0
Alfred Grigsby\alfred-grigsby-1,Pac-10,5,,University of California,15,55,55,NaN,62,82,8,8,8,120,0
Shawn Hampton\shawn-hampton-1,CAA,2,,Virginia Commonwealth,29,49,49,NaN,61,200,7,26,46,301,0
Romas Krywonis\romas-krywonis-1,Southern,4,,Citadel,28,45,46,0,60,116,17,15,9,150,0
Devon Lake\devon-lake-1,OVC,1,,Southeast Missouri State,27,46,50,36,79,99,55,43,10,603,0
Anthony Lever\anthony-lever-1,Pac-10,3,,Oregon,31,43,44,41,79,50,42,17,5,201,0
Andy Markowski\andy-markowski-1,Total,4,,Nebraska,31,46,46,NaN,45,142,36,28,10,150,0
Corbin Miller\corbin-miller-1,Ivy,6,,Harvard,18,37,35,38,70,20,11,6,0,100,0
Carlos Morris\carlos-morris-2,Big Ten,2,,Minnesota,28,42,46,35,71,95,52,38,6,301,0
Will Perkins\will-perkins-1,Pac-10,2,,Washington,29,48,48,0,55,193,37,23,29,301,0
Alex Robinson\alex-robinson-2,Total,3,,Total,23,42,45,33,63,65,104,24,7,201,0
Donovan Ross\donovan-ross-1,Southland,2,,Lamar,30,53,55,0,80,136,24,25,20,301,0
Eddie Spencer\eddie-spencer-1,MAC,4,,Central Michigan,27,38,45,28,72,98,22,15,7,150,0
Scott Taylor\scott-taylor-1,Patriot,4,,Lehigh,26,45,47,30,68,82,13,18,4,150,0
Phillip Thomasson\phillip-thomasson-1,Total,5,,Total,22,49,51,0,66,67,19,5,7,120,0
Ivan Wilkins\ivan-wilkins-1,Patriot,3,,Lehigh,23,55,55,0,46,119,48,27,15,201,0
Ameer Ali\ameer-ali-1,MEAC,4,,Morgan State,28,50,51,33,59,121,19,18,6,150,0
Kerman Ali\kerman-ali-1,MW Coll,2,,Loyola (IL),20,53,54,17,72,122,9,13,4,301,0
Mitchell Anderson\mitchell-anderson-1,SWAC,2,,Arkansas-Pine Bluff,31,40,46,26,59,176,35,31,45,301,0
Eddy Barlow\eddy-barlow-1,Southland,4,,Sam Houston State,27,38,40,32,75,37,71,29,2,150,0
James Bayless\james-bayless-2,WCC,2,,San Francisco,26,54,54,0,63,150,18,14,12,301,0
Drick Bernstine\drick-bernstine-1,Total,4,,Total,19,49,51,0,51,140,41,18,10,150,0
Trahson Burrell\trahson-burrell-1,AAC,2,,Memphis,31,43,50,30,72,178,73,31,19,301,0
Courtney Captain\courtney-captain-1,CUSA,2,,East Carolina,29,36,40,34,76,96,50,27,1,301,0
Darion Clark\darion-clark-1,Total,5,,Total,22,48,48,NaN,50,116,10,8,10,120,0
Miles Dixon\miles-dixon-2,Horizon,2,,Wright State,35,40,43,28,78,68,58,23,8,301,0
Kahlil Dukes\kahlil-dukes-1,Total,4,,Total,18,40,40,41,93,27,36,9,0,150,0
Vince Ford\vince-ford-1,SEC,4,,Vanderbilt,24,49,53,39,67,66,29,16,5,150,0
Patrick Hardy\patrick-hardy-1,Ind,4,,Savannah State,28,39,42,33,69,67,39,37,8,150,0
Anthony Holliday\anthony-holliday-1,Southland,2,,Lamar,28,48,53,33,77,53,72,25,5,301,0
Jared Josten\jared-josten-1,MVC,4,,Northern Iowa,27,41,41,40,83,25,31,9,1,150,0
David Klatsky\david-klatsky-1,Ivy,4,,Pennsylvania,29,39,41,39,73,81,96,27,1,150,0
Jeremiah Kreisberg\jeremiah-kreisberg-1,Total,5,,Total,21,49,50,0,71,75,17,4,5,120,0
Matt MacDonald\matt-macdonald-1,Total,4,,Total,20,39,47,33,76,70,22,16,0,150,0
Alvin Mofunanya\alvin-mofunanya-1,Total,5,,Total,19,46,46,0,60,85,12,5,24,120,0
Alex Murphy\alex-murphy-1,Total,5,,Total,18,48,60,32,52,50,12,7,5,120,0
David Ndoumba\david-ndoumba-1,Southland,4,,Southeastern Louisiana,29,52,53,NaN,62,138,14,8,24,150,0
RaShawn Polk\rashawn-polk-1,CAA,2,,Towson,29,41,46,35,67,92,30,28,7,301,0
Justin Raffington\justin-raffington-1,Total,5,,Total,21,47,48,20,55,104,11,4,11,120,0
Perry Stevenson\perry-stevenson-1,SEC,4,,Kentucky,33,57,58,0,67,122,24,16,39,150,0
Chris Washburn\chris-washburn-2,Total,5,,Total,24,45,45,33,52,85,23,22,17,120,0
Charles Williams\charles-williams-3,Sun Belt,2,,Texas-Rio Grande Valley,25,53,53,0,50,148,23,20,5,301,0
Darren Allaway\darren-allaway-1,Pac-10,4,,Stanford,27,50,50,NaN,64,123,8,13,11,150,0
Adam Brown\adam-brown-1,CUSA,2,,Houston,30,43,46,40,72,89,53,28,5,300,0
Clayton Brown\clayton-brown-2,AEC,3,,Maine,21,48,56,31,76,96,23,9,8,200,0
Mike Bruesewitz\mike-bruesewitz-1,Big Ten,4,,Wisconsin,32,41,54,28,72,130,40,15,6,150,0
Terry Edwards\terry-edwards-1,MAAC,2,,Niagara,28,42,49,32,71,141,34,20,19,300,0
De'Aaron Fox\deaaron-fox-1,SEC,1,,Kentucky,36,48,52,25,74,143,165,53,7,601,1
Newton Gayle\newton-gayle-1,Total,6,,Total,13,46,47,NaN,58,74,12,7,5,100,0
Dominique Geason\dominique-geason-1,Southland,4,,Nicholls State,27,43,45,17,66,103,13,16,6,150,0
Marquise Gray\marquise-gray-1,Big Ten,4,,Michigan State,34,57,57,NaN,57,133,13,10,14,150,0
Tyrone Johnson\ty-johnson-1,Total,4,,Total,20,36,38,29,80,42,58,17,3,150,0
Keenan Jourdan\keenan-jourdan-1,Big East,4,,Boston College,28,47,49,40,58,108,28,28,4,150,0
Bryan LeDuc\bryan-leduc-1,Big West,2,,Pacific,32,55,66,38,77,138,10,21,10,300,0
Richard Little\richard-little-1,Total,4,,Virginia Military Institute,28,31,36,25,61,73,152,42,0,150,0
Robin Lopez\robin-lopez-1,Pac-10,2,,Stanford,33,51,51,0,62,188,25,11,78,300,1
Taurean Mitchell\taurean-mitchell-1,Total,4,,Texas A&M-Corpus Christi,28,45,50,34,77,53,87,36,1,150,0
Chris Reyes\chris-reyes-1,Total,3,,Total,32,51,52,20,59,139,29,8,22,200,0
Scotty Scott\scotty-scott-1,CAA,4,,William & Mary,19,41,43,38,69,45,59,12,2,150,0
Javan Steadham\javan-steadham-1,MEAC,3,,Delaware State,27,32,35,28,75,69,75,32,1,200,0
AJ West\aj-west-1,MWC,3,,Nevada,20,50,50,NaN,62,183,9,9,48,200,0
Anthony Wilson\anthony-wilson-1,Total,4,,Jacksonville State,24,43,48,36,73,73,26,26,5,150,0
Terrance Akins\terrance-akins-1,Sun Belt,3,,Arkansas-Little Rock,21,38,39,38,80,40,38,15,1,200,0
Keita Bates-Diop\keita-bates-diop-1,Big Ten,3,,Ohio State,25,47,53,35,77,108,21,12,24,200,0
Derrick Dukes\derrick-dukes-1,SEC,2,,Georgia,34,39,47,35,68,75,22,29,10,300,0
Khwan Fore\khwan-fore-1,A-10,3,,Richmond,23,51,54,32,61,81,44,31,5,200,0
Scooter Gillette\scooter-gillette-1,Total,5,,Total,26,56,56,NaN,65,75,6,8,23,120,0
Colin Haynes\colin-haynes-1,AEC,4,,Maine,28,43,46,42,65,142,33,28,13,150,0
Antanas Kavaliauskas\antanas-kavaliauskas-1,Big 12,2,,Texas A&M,32,56,57,42,61,157,42,19,18,300,0
Kevin Little\kevin-little-1,AEC,2,,Maine,22,38,39,37,80,52,57,25,0,300,0
Garland Mance\garland-mance-1,A-10,2,,St. Bonaventure,27,38,41,33,66,123,42,34,6,300,0
Dennis Newton\dennis-newton-1,Southland,4,,Louisiana-Monroe,29,53,53,NaN,56,117,21,19,45,150,0
Papa Oppong\papa-oppong-1,OVC,2,,Eastern Kentucky,29,48,53,42,68,124,39,36,9,300,0
Eric Parker\eric-parker-1,Big South,4,,Radford,26,55,54,NaN,63,107,7,10,31,150,0
R.J. Rutledge\rj-rutledge-1,NEC,4,,Monmouth,25,38,46,33,64,58,21,8,4,150,0
Jonathan Sanders\jonathan-sanders-1,Total,5,,Total,22,45,50,29,74,78,36,12,8,120,0
George Scott\george-scott-1,Total,5,,Southern Mississippi,20,43,49,32,66,52,20,19,7,120,0
Daryl Todd\daryl-todd-1,NEC,2,,Fairleigh Dickinson,29,43,51,29,65,164,38,41,5,300,0
Joshua Treadwell\joshua-treadwell-1,MEAC,2,,Coppin State,31,39,42,34,77,133,27,16,3,300,0
Logan Vander Velden\logan-vander-velden-1,Mid-Cont,2,,Green Bay,29,48,53,37,86,120,32,16,6,300,0
Jeff Williams\jeff-williams-2,Southern,2,,Appalachian State,27,43,49,28,70,103,95,36,9,300,0
Sam Allen\sam-allen-1,Total,3,,Total,19,54,55,40,52,82,7,10,12,199,0
Torrance Archie\torrance-archie-1,Total,4,,Total,20,53,52,0,58,96,18,13,5,149,0
Trey Blue\trey-blue-1,Total,5,,Total,19,37,44,31,71,33,18,10,1,119,0
Andre Bynum\andre-bynum-1,Big South,4,,Radford,27,42,48,32,70,65,78,34,6,149,0
Jerry Holman\jerry-holman-1,Big Ten,2,,Minnesota,32,57,57,NaN,62,148,29,17,47,299,0
Christopher Hyder\christopher-hyder-1,SWAC,4,,Southern,29,45,48,22,72,93,119,49,1,149,0
Chad Jones\chad-jones-2,Total,4,,Alabama-Birmingham,26,37,38,33,74,81,39,19,6,149,0
Cooper Land\cooper-land-1,Horizon,4,,Wright State,28,39,45,34,69,69,14,9,2,149,0
Dexter McClanahan\dexter-mcclanahan-1,MEAC,2,,Savannah State,30,43,55,34,68,96,46,25,4,299,0
Asim McQueen\asim-mcqueen-1,CUSA,4,,Tulane,30,43,43,20,69,101,16,13,10,149,0
Tack Minor\tack-minor-1,SEC,4,,Louisiana State,19,37,41,31,66,51,56,20,0,149,0
Kirill Misyuchenko\kirill-misyuchenko-1,Southern,3,,Citadel,26,50,50,NaN,61,160,17,9,71,199,0
Julius Randle\julius-randle-1,SEC,1,,Kentucky,40,50,52,17,71,416,57,20,31,599,1
Aaron Thompson\aaron-thompson-1,Big West,2,,Cal State Fullerton,31,47,52,36,68,154,62,28,17,299,0
Wayland White\wayland-white-1,MWC,2,,New Mexico,31,53,54,40,42,162,37,50,68,299,0
Curtis Wilson\curtis-wilson-1,Sun Belt,3,,New Orleans,19,53,53,100,70,112,30,23,10,199,0
Dennis Young\dennis-young-1,MAAC,4,,Marist,26,47,47,50,57,92,11,6,15,149,0
Tyrone Beck\tyrone-beck-1,OVC,2,,Austin Peay,26,52,52,NaN,64,182,28,29,18,299,0
Claude Britten\claude-britten-1,CUSA,4,,Texas-El Paso,28,54,54,NaN,55,65,5,5,19,149,0
Chris Bruff\chris-bruff-1,AEC,4,,Maine,23,51,52,25,67,89,22,18,10,149,0
Jesse Carr\jesse-carr-1,MWC,4,,Colorado State,23,45,52,35,71,54,51,17,1,149,0
Rod Earls\rod-earls-1,CUSA,2,,Tulsa,35,38,39,37,86,102,63,28,4,299,0
Travis Gabbidon\travis-gabbidon-1,Southland,2,,Texas-San Antonio,23,41,46,30,71,143,36,29,9,299,0
Marcus Green\marcus-green-1,Big Ten,4,,Purdue,33,39,47,27,61,97,27,22,11,149,0
Laron Griffin\laron-griffin-1,Big Sky,3,,Eastern Washington,30,50,50,NaN,54,180,17,17,23,199,0
Samuel Haanpaa\samuel-haanpaa-1,Total,2,,Valparaiso,27,44,42,44,75,92,27,9,1,299,0
Justin Holbrook\justin-holbrook-1,WCC,5,,Santa Clara,22,41,45,37,68,45,12,4,1,119,0
Adedeji Ibitayo\adedeji-ibitayo-1,MAC,4,,Akron,25,42,50,35,65,58,17,13,7,149,0
Lamar Johnson\lamar-johnson-2,MAAC,4,,Rider,27,35,42,33,81,45,27,18,2,149,0
Gabe Lisicky\gabe-lisicky-1,Southern,4,,East Tennessee State,27,37,38,36,84,33,41,16,0,149,0
Douglass McLaughlin-Williams\douglass-mclaughlin-williams-1,Southern,4,,Appalachian State,29,39,48,34,56,100,37,16,8,149,0
Charlie Melvin\charlie-melvin-1,Total,3,,Colorado,28,47,47,NaN,66,147,21,18,23,199,0
Belvis Noland\belvis-noland-1,Big 8,2,,Kansas State,30,40,47,32,59,117,39,55,8,299,0
Carderro Nwoji\carderro-nwoji-1,Sun Belt,2,,Florida Atlantic,30,39,41,37,85,103,92,21,0,299,0
Derrick Phelps\derrick-phelps-1,ACC,2,,North Carolina,34,47,52,35,72,142,186,71,2,299,0
Ryan Price\ryan-price-1,Southland,4,,McNeese State,20,39,44,19,63,34,35,19,0,149,0
George Reese\george-reese-1,Total,5,,Total,14,48,48,NaN,64,66,11,6,3,119,0
James Robinson\james-robinson-1,SEC,1,,Alabama,29,42,48,35,68,130,68,47,21,598,1
Justin Robinson\justin-robinson-3,ACC,2,,Virginia Tech,34,42,45,35,75,82,128,22,5,299,0
Mike Smith\mike-smith-4,Total,5,,Total,18,48,49,0,57,78,14,9,5,119,1
Dillion Sneed\dillion-sneed-1,Total,2,,East Tennessee State,28,60,60,0,43,235,11,9,15,299,0
Troy Aaron\troy-aaron-1,Total,4,,Total,22,38,42,31,63,59,42,15,1,149,0
Antonnio Benton\antonnio-benton-1,Southland,4,,Southeastern Louisiana,23,44,49,25,73,98,16,9,16,149,0
Louis Birdsong\louis-birdsong-1,CAA,4,,George Mason,31,49,50,33,68,99,21,16,25,149,0
Hosea Butler\hosea-butler-1,SWAC,2,,Mississippi Valley State,28,37,43,29,77,108,119,79,2,298,0
Ron Christian\ron-christian-1,MEAC,4,,Maryland-Eastern Shore,26,49,49,0,65,120,16,20,4,149,0
Jerome Days\jerome-days-1,OVC,2,,Southeast Missouri State,26,53,56,30,64,159,17,19,17,298,0
Eric Fernandez\eric-fernandez-1,MEAC,2,,South Carolina State,29,41,45,39,67,86,74,52,3,298,0
Michael Griffith\michael-griffith-2,MEAC,2,,Florida A&M,27,36,38,33,66,112,45,32,3,298,0
Harrison Hawkins\harrison-hawkins-1,Southland,2,,Abilene Christian,23,42,45,38,81,38,48,21,1,298,0
Tyler Kepkay\tyler-kepkay-1,MWC,2,,Utah,33,40,44,37,85,94,53,23,0,298,0
Andre King\andre-king-1,Total,4,,Campbell,23,48,48,NaN,71,74,4,10,3,149,0
Kirk Korver\kirk-korver-1,Total,5,,Missouri-Kansas City,22,40,53,33,79,53,13,9,4,119,0
Marquez Letcher-Ellis\marquez-letcher-ellis-1,CUSA,2,,Rice,33,49,56,27,65,164,19,26,36,298,0
Lekendric Longmire\lekendric-longmire-1,Pac-10,3,,Oregon,28,45,47,35,65,87,14,24,4,199,0
Carl Malvo\carl-malvo-1,Sun Belt,4,,Lamar,25,43,47,32,63,72,17,13,3,149,0
Cory Powell\cory-powell-1,WAC,2,,San Jose State,22,48,51,32,66,154,19,19,6,298,0
David President\david-president-1,Southland,4,,Texas-San Antonio,27,38,43,27,63,89,84,38,4,149,0
Chris Roberts\chris-roberts-1,MVC,2,,Bradley,33,44,50,36,68,147,56,43,21,298,0
Derrick Rose\derrick-rose-1,CUSA,1,,Memphis,40,48,52,34,71,181,189,48,15,597,1
Amar Stukes\amar-stukes-1,A-10,3,,La Salle,31,41,44,26,72,67,90,35,1,199,0
Darrell Teat\darrell-teat-1,WCC,2,,Santa Clara,29,40,50,27,69,136,34,27,2,298,0
Chad Thomas\chad-thomas-1,A-10,2,,Rhode Island,32,49,55,29,66,128,69,46,10,298,0
Marques Townes\marques-townes-1,NEC,2,,Fairleigh Dickinson,28,49,57,32,65,105,59,40,3,298,0
Jeremie Tyler\jeremie-tyler-1,MAC,3,,Ball State,21,42,46,37,80,40,22,18,6,199,0
